"違反雇主清冊"
"編號","縣市／單位別","公告日期","事業單位名稱(負責人)
自然人姓名","處分日期","處分字號","違反法規條款","法條敘述","處分金額／滯納金","備註"
"5886","台北市","113/01/05","保德信證券投資信託股份有限公司
(張偉)","112/11/01","府勞資第11260462221號","勞工退休金條例第12條第2項","雇主未依規定於終止勞動契約後30日內發給新制資遣費。","300,000","",
"6186","台北市","112/12/05","楠丹企業股份有限公司(蔡秋至)","112/10/02","府勞資第11260431451號","勞工退休金條例第12條第2項","雇主未依規定於終止勞動契約後30日內發給新制資遣費。","300,000","",
"6365","台北市","112/11/06","大猩猩科技股份有限公司
(Jayesh Navin Chandan)","112/09/15","府勞資第11260435441號","勞工退休金條例第12條第2項","雇主未依規定於終止勞動契約後30日內發給新制資遣費。","300,000","",
"9760","台北市","111/09/05","強固保全股份有限公司(湯永郎)","111/07/05","北市勞資字第11160250971號","勞工退休金條例第11條第2項","雇主未依規定，以契約終止時之平均工資，計給該保留年資之資遣費或退休金，並於終止勞動契約後30日內發給。","300,000","",
"10786","台北市","111/04/06","極盛科技股份有限公司(余明桐)","111/02/11","北市勞資字第1116014007號","勞工退休金條例第12條第2項","雇主未依規定於終止勞動契約後30日內發給新制資遣費。","300,000","",
"10800","台北市","111/04/06","伊凡達科技股份有限公司(高奇佑)","111/02/08","北市勞資字第11160036531號","勞工退休金條例第12條第2項","雇主未依規定於終止勞動契約後30日內發給新制資遣費。","300,000","",
"10802","台北市","111/03/07","漢能綠電股份有限公司(邱彪)","111/01/28","北市勞資字第11160332201號","勞工退休金條例第12條第2項","雇主未依規定於終止勞動契約後30日內發給新制資遣費。","300,000","",
"10817","台北市","111/03/07","點點點行銷有限公司(楊濟成)","111/01/26","北市勞資字第11061091091號","勞工退休金條例第12條第2項","雇主未依規定於終止勞動契約後30日內發給新制資遣費。","300,000","",
"11267","台北市","111/02/07","原創傳媒股份有限公司(唐曹)","110/12/09","北市勞資字第11061199041號","勞工退休金條例第12條第2項","雇主未依規定於終止勞動契約後30日內發給新制資遣費。","300,000","",
"11816","台北市","110/12/05","貝司通企業有限公司(莫哈魅德)","110/10/08","北市勞資字第11060899051號","勞工退休金條例第13條第1項","雇主未繼續按月提撥勞工退休準備金。","20,000","",
"13169","台北市","110/04/01","先進微機電系統股份有限公司(洪昌黎)","110/02/26","北市勞資字第11060005011號","勞工退休金條例第12條第2項","雇主未依規定於終止勞動契約後30日內發給新制資遣費。","300,000","",
"14256","台北市","109/12/04","吃夠夠企業社 (趙起漢)","109/10/15","北市勞資字第10960726351號","勞工退休金條例第12條第2項","雇主未依規定於終止勞動契約後30日內發給新制資遣費。","300,000","",
"14868","台北市","109/10/05","三文股份有限公司(鄭英里)","109/08/10","北市勞資字第10960654881號","勞工退休金條例第13條第1項","雇主未繼續按月提撥勞工退休準備金。","20,000","",
"15541","台北市","109/07/03","品庠醫藥生技股份有限公司(章家豪)","109/05/25","北市勞資字第10960367031號","勞工退休金條例第12條第2項","雇主未依規定於終止勞動契約後30日內發給新制資遣費。","300,000","",
"15792","台北市","109/06/05","何一品居股份有限公司(李玉蓉)","109/04/17","北市勞資字第10960173561號","勞工退休金條例第12條第2項","雇主未依規定於終止勞動契約後30日內發給新制資遣費。","300,000","",
"16027","台北市","109/05/05","群策國際股份有限公司(朱尤敏)","109/03/18","北市勞資字第10960029131號","勞工退休金條例第12條第1項","雇主未依規定標準發給勞工退休金條例工作年資之資遣費。","300,000","",
